Date,Home,Away,Home_Score,Away_Score,Final_Score,Link,first_goal_min
,Monaco,Marseille,3,0,3-0,https://ca.soccerway.com/matches/2025/04/12/france/ligue-1/monaco/marseille/4373006/,34
,Toulouse,Lille,1,2,1-2,https://ca.soccerway.com/matches/2025/04/12/france/ligue-1/toulouse/lille/4372998/,42
,Angers,Montpellier,2,0,2-0,https://ca.soccerway.com/matches/2025/04/13/france/ligue-1/angers/montpellier/4373004/,2
,Rennes,Nantes,2,1,2-1,https://ca.soccerway.com/matches/2025/04/18/france/ligue-1/rennes/nantes/4373015/,23
,PSG,Le Havre,2,1,2-1,https://ca.soccerway.com/matches/2025/04/19/france/ligue-1/psg/le-havre/4373011/,8
,Monaco,Strasbourg,0,0,0-0,https://ca.soccerway.com/matches/2025/04/19/france/ligue-1/monaco/strasbourg/4373014/,
,Nice,Angers,2,1,2-1,https://ca.soccerway.com/matches/2025/04/20/france/ligue-1/nice/angers/4373008/,36
,Reims,Toulouse,1,0,1-0,https://ca.soccerway.com/matches/2025/04/20/france/ligue-1/reims/toulouse/4373013/,39
,Le Havre,Monaco,1,1,1-1,https://ca.soccerway.com/matches/2025/04/26/france/ligue-1/le-havre/monaco/4373016/,22
,Angers,Lille,0,2,0-2,https://ca.soccerway.com/matches/2025/04/27/france/ligue-1/angers/lille/4373021/,46
,Montpellier,Reims,0,0,0-0,https://ca.soccerway.com/matches/2025/04/27/france/ligue-1/montpellier/reims/4373019/,
,Nantes,Toulouse,0,0,0-0,https://ca.soccerway.com/matches/2025/04/27/france/ligue-1/nantes/toulouse/4373018/,
,Nice,Reims,1,0,1-0,https://ca.soccerway.com/matches/2025/05/02/france/ligue-1/nice/reims/4373027/,15
,Strasbourg,PSG,2,1,2-1,https://ca.soccerway.com/matches/2025/05/03/france/ligue-1/strasbourg/psg/4373032/,20
,Toulouse,Rennes,2,1,2-1,https://ca.soccerway.com/matches/2025/05/03/france/ligue-1/toulouse/rennes/4373031/,28
,Nantes,Angers,0,1,0-1,https://ca.soccerway.com/matches/2025/05/04/france/ligue-1/nantes/angers/4373030/,52
,Brest,Montpellier,1,0,1-0,https://ca.soccerway.com/matches/2025/05/04/france/ligue-1/brest/montpellier/4373028/,15
,Lyon,Lens,1,2,1-2,https://ca.soccerway.com/matches/2025/05/04/france/ligue-1/lyon/lens/4373025/,79
,Auxerre,Le Havre,1,2,1-2,https://ca.soccerway.com/matches/2025/05/04/france/ligue-1/auxerre/le-havre/4373033/,62
,Monaco,Lyon,2,0,2-0,https://ca.soccerway.com/matches/2025/05/10/france/ligue-1/monaco/lyon/4373042/,62
,Brest,Lille,2,0,2-0,https://ca.soccerway.com/matches/2025/05/10/france/ligue-1/brest/lille/4373041/,42
,Reims,Saint-Étienne,0,2,0-2,https://ca.soccerway.com/matches/2025/05/10/france/ligue-1/reims/saint-tienne/4373034/,3
,Rennes,Nice,2,0,2-0,https://ca.soccerway.com/matches/2025/05/10/france/ligue-1/rennes/nice/4373038/,15
,Toulouse,Lens,1,1,1-1,https://ca.soccerway.com/matches/2025/05/10/france/ligue-1/toulouse/lens/4373040/,47
,Angers,Strasbourg,2,1,2-1,https://ca.soccerway.com/matches/2025/05/10/france/ligue-1/angers/strasbourg/4373036/,15
,Auxerre,Nantes,1,1,1-1,https://ca.soccerway.com/matches/2025/05/10/france/ligue-1/auxerre/nantes/4373035/,45
